"RefNo","SupplierName","DatePosted","Details","PaymentMode","AmountDr","AmountCr","TransNo","AccountUsed","FormID","ItemName","Measures","Quantity","UnitCost","VehicleNo"
"YongXing Steel Company Ltd","YongXing Steel Company Ltd","2026-04-20 00:00:00","Supplier Balance Before Computerization As At 20 April 2026"," ========== ",0,145144030,"Previous Transactions","Previous Transactions","SN"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:50:47 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,74415000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:51:23 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,120000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:52:10 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,50000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:52:41 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,111008000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:53:16 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,100000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:54:07 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,49400000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 20 April 2026 By 2:54:37 PM","YongXing Steel Company Ltd","2026-04-20 00:00:00","Payments","Cheque",0,22410000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 20 April 2026","YongXing Steel Company Ltd","2026-04-20 00:00:00","Akl 756 Xd 120 Tons Of 12Mm Local @ 749000"," ========== ",89880000,0,"OST23426145758"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"2","YongXing Steel Company Ltd","2026-04-20 00:00:00","Bzr 143 Xc Extra 120 Tons Of 12Mm Local @ 749,000"," ========== ",14980000,0,"OST2342615232"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"3","YongXing Steel Company Ltd","2026-04-20 00:00:00","Fky 251 Xc 54 Tons Of 12Mm Local @ 749,000"," ========== ",40446000,0,"OST2342615538"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"4","YongXing Steel Company Ltd","2026-04-20 00:00:00","Epe 415 Xw 70 Tons Of 12Mm Local @ 749,000"," ========== ",52430000,0,"OST23426151018"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"5","YongXing Steel Company Ltd","2026-04-20 00:00:00","Akl 756 Xd 70 Tons 12 Mm T.M.T @ 994,000"," ========== ",69580000,0,"OST23426151149"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"6","YongXing Steel Company Ltd","2026-04-20 00:00:00","Rrt 783 Xa 100 Tons Of 12Mm Local @ 749,000"," ========== ",74900000,0,"OST23426151454"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"7","YongXing Steel Company Ltd","2026-04-20 00:00:00","Akl 15 Xf 80 Tons Of 12Mm Local @ 749000"," ========== ",59920000,0,"OST2342615205"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"8","YongXing Steel Company Ltd","2026-04-20 00:00:00","Abb 894 Xa Extra 20 Tons Of 12Mm Local @ 749000"," ========== ",14980000,0,"OST23426152249"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"9","YongXing Steel Company Ltd","2026-04-20 00:00:00","Rrt 782 Xa Extra 30 Tons Of 12Mm Local @ 749000"," ========== ",22470000,0,"OST23426152541"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"0","YongXing Steel Company Ltd","2026-04-20 00:00:00","Umg 125 Xc 120 Tons Of 12Mm Local @ 749000"," ========== ",89880000,0,"OST23426152916"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 21 April 2026 By 12:56:33 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","Payment Made","Cheque",0,143424000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 21 April 2026 By 12:58:02 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","Payments Made","Cheque",0,80000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 21 April 2026 By 1:02:34 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","ugochukwu alika (enu 134 zg) 70 tons of 12mm local @ 751000"," ========== ",52570000,0,"OST2942613234"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 21 April 2026 By 1:04:13 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","alloy awka (fkl 109 yk) 86 tons of 12mm local @ 751000"," ========== ",64586000,0,"OST2942613413"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 21 April 2026 By 1:06:04 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","rrt 781 xa extra 20 tons of 12mm local @ 751000"," ========== ",15020000,0,"OST294261364"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 21 April 2026 By 1:07:40 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","(ebj 953 xb) extra 20 tons of 12mm local @ 751000"," ========== ",15020000,0,"OST2942613740"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 21 April 2026 By 1:09:01 PM","YongXing Steel Company Ltd","2026-04-21 00:00:00","henry asaba (wwr 276 xb) 100 tons of 12mm local @ 751000"," ========== ",75100000,0,"OST294261391"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 22 April 2026 By 1:15:08 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Payment Made","Cheque",0,54460000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 22 April 2026 By 1:16:29 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Payment Made","Cheque",0,239040000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 22 April 2026 By 1:17:45 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Payment Made","Cheque",0,134460000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 22 April 2026 By 1:19:10 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Payment Made","Cheque",0,234318000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 22 April 2026 By 1:20:16 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Payments Made","Cheque",0,100000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 1:23:49 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Dona Osas (Uwn 721 Xt) 80 Tons of 12mm Local @ 753000"," ========== ",60240000,0,"OST29426132349"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 1:25:42 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","(Umg 126 Xc) 120 Tons of 12mm Local @ 753000"," ========== ",90360000,0,"OST29426132542"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 1:37:55 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","(Uwn 733 Zl) 100 Tons of 12mm Local @ 753000"," ========== ",75300000,0,"OST29426133755"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 1:51:23 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","(Ebj 331 Xb) 100 Tons of 12mm Local @ 753000"," ========== ",75300000,0,"OST29426135123"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 1:54:17 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","(Zll 741 Xa) 80 Tons of 12mm Local @ 753000"," ========== ",60240000,0,"OST29426135417"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 1:57:43 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","(Uwn 734 Xa) 100 Tons of 12mm Local @ 753000"," ========== ",75300000,0,"OST29426135743"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 2:00:45 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Kaodinna (Aku 334 Xb) 114 Tons of 12mm Local @ 753000"," ========== ",85842000,0,"OST2942614045"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 2:02:48 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Kaodinna (Awk 495 Yk) 120  Tons of 12mm @ 753000"," ========== ",90360000,0,"OST2942614248"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 2:04:59 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","(Nca 869 Xa) 60 Tons of 12mm TMT @ 998000"," ========== ",59880000,0,"OST2942614459"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 22 April 2026 By 2:06:52 PM","YongXing Steel Company Ltd","2026-04-22 00:00:00","Henry Asaba (Dsz 244 Xb)100 Tons of 12mm Local @ 753000"," ========== ",75300000,0,"OST2942614652"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 23 April 2026 By 10:57:17 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","Payments Made","Cheque",0,200000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 23 April 2026 By 11:01:39 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","Payment Made","Cheque",0,300000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 23 April 2026 By 11:02:37 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","Payment Made","Cheque",0,200000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 23 April 2026 By 11:05:10 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","Payments Made","Cheque",0,300000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:10:52 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","Emma Kano (Fky 856 Za) 54 Tons of 12mm @ 755000"," ========== ",40770000,0,"OST30426111052"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:13:09 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","(Rgm 161 Zy) 70 Tons of 12mm Local @ 755000"," ========== ",52850000,0,"OST3042611139"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:14:41 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","(Nca 869 xa) 80 Tons of 12mm Local @ 755000"," ========== ",60400000,0,"OST30426111441"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:28:01 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","(Nwa 523 Xa) 90 Tons of 12mm Local @ 755000"," ========== ",67950000,0,"OST3042611281"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:29:05 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","(Zll 740 Xa) 70 Tons of 12mm Local @ 755000"," ========== ",52850000,0,"OST3042611295"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:30:27 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","(Ebj 331 Xb) Extra 20 Tons of 12mm Local @ 755000"," ========== ",15100000,0,"OST30426113027"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:32:52 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","(Nsk 320 Zy) Extra 40 Tons of 12mm Local @ 755000"," ========== ",30200000,0,"OST30426113252"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 23 April 2026 By 11:36:11 AM","YongXing Steel Company Ltd","2026-04-23 00:00:00","Ozone Kano (Ngu 389 Xa) 50 Tons of 12mm Local @ 755000"," ========== ",37850000,0,"OST30426113611"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 11:38:57 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Dona Osas (Usl 721 Zb) 60 Tons of 12mm Local @ 757000"," ========== ",45420000,0,"OST30426113857"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 11:41:43 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Dona Osas (Sua 363 Xa) 100 Tons of 12mm @ 757000"," ========== ",75700000,0,"OST30426114143"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 11:44:56 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","(Uwn 734 Zl) 55 tons of 20kg @ 1368000"," ========== ",75240000,0,"OST30426114456"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 11:46:51 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","(Abb 894 Xa) 120 Tons of 12mm Local @ 757000"," ========== ",90840000,0,"OST30426114651"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 11:51:14 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Onyeka Bayelsa (Kmr 185 Zy) 70 Tons of 12mm Local @ 757000"," ========== ",52990000,0,"OST30426115114"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 24 April 2026 By 11:53:02 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Payment Made","Cheque",0,95000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 24 April 2026 By 11:54:07 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Payments Made","Cheque",0,405000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 11:57:40 AM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Onyeka Bayelsa (Awk 163 Yk) 60 Tons of 12mm Local @ 762000"," ========== ",45720000,0,"OST30426115740"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 12:00:27 PM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Ugochukwu Donatus (T17128 LA) 90 Tons of 12mm Local @ 762000"," ========== ",68580000,0,"OST3042612027"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 24 April 2026 By 12:02:31 PM","YongXing Steel Company Ltd","2026-04-24 00:00:00","Olly best (Gdd 419 Ym) 90 Tons of 12mm Local @ 762000"," ========== ",68580000,0,"OST3042612231"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 25 April 2026 By 12:04:48 PM","YongXing Steel Company Ltd","2026-04-25 00:00:00","(Etu 892 Xa) 100 Tons of 12mm Local @ 762000"," ========== ",76200000,0,"OST3042612448"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 25 April 2026 By 12:06:10 PM","YongXing Steel Company Ltd","2026-04-25 00:00:00","(Umg 126 Xc) 100 Tons of 12mm Local @ 763000"," ========== ",76300000,0,"OST3042612610"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 25 April 2026 By 12:09:21 PM","YongXing Steel Company Ltd","2026-04-25 00:00:00","(Bzr 143 Xc) 100 Tons of 12mm Local @ 763000"," ========== ",76300000,0,"OST3042612921"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 25 April 2026 By 12:12:37 PM","YongXing Steel Company Ltd","2026-04-25 00:00:00","(Umd  309 Xa) Extra 30 Tons of 12mm Local @ 763000"," ========== ",22890000,0,"OST30426121237"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 25 April 2026 By 12:14:50 PM","YongXing Steel Company Ltd","2026-04-25 00:00:00","Obinna Ahijio (Uwn 396 Xn) 110 Tons of 12mm Local @ 763000"," ========== ",83930000,0,"OST30426121450"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 25 April 2026 By 12:16:57 PM","YongXing Steel Company Ltd","2026-04-25 00:00:00","(Ben 281 Zh) 200 rolls of B/wire 20kg @ 27360"," ========== ",5472000,0,"OST30426121657"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 26 April 2026 By 12:20:11 PM","YongXing Steel Company Ltd","2026-04-26 00:00:00","(Etu 892 Xa) 39,750 Tons of 5,5mm coil wire @ 1305000"," ========== ",51873750,0,"OST30426122011"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 26 April 2026 By 12:25:10 PM","YongXing Steel Company Ltd","2026-04-26 00:00:00","(Umg 126 Xc) 39,450 Tons of 5,5mm coil wire @ 1305000"," ========== ",51482250,0,"OST30426122510"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 26 April 2026 By 12:39:36 PM","YongXing Steel Company Ltd","2026-04-26 00:00:00","(Nsk 320 Zy) 41,360 Tons of 5.5mm coil wire @ 1305000"," ========== ",53974800,0,"OST30426123936"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:42:03 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payments Made","Cheque",0,45000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:46:03 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payments Made","Cheque",0,50000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:48:17 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payment Made","Cheque",0,400000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:50:42 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payments Made","Cheque",0,5000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:51:56 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payments Made","Cheque",0,100000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:54:47 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payments Made","Cheque",0,250000000,"nip","Access Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"YongXing Steel Company Ltd Payment On 27 April 2026 By 12:56:28 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Payments Made","Cheque",0,150000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:11:50 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Sunny best (Efr 14 Xb) 50 Tons of 16mm Local @ 763000"," ========== ",38150000,0,"OST30426131150"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:13:59 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","(Ebj 331 Xb) 90 Tons of 16mm Local @765000"," ========== ",68850000,0,"OST30426131359"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:15:43 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Emma Warri (Asb 731 Zl) 70 Tons of 16mm Local @ 765000"," ========== ",53550000,0,"OST30426131543"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:17:22 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","(Ebj 953 Xb) 70 Tons of 16mm Local @ 765000"," ========== ",53550000,0,"OST30426131722"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:18:47 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","(Umg 125 Xc) 70 Tons of 16mm Local @ 765000"," ========== ",53550000,0,"OST30426131847"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:20:26 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","(Rrt 782 Xa) 80 Tons of 16mm Local @ 765000"," ========== ",61200000,0,"OST30426132026"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:22:30 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","Jude Benin (Asb 53 Yf) 70 Tons of 12mm TMT @ 1008000"," ========== ",70560000,0,"OST30426132230"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 27 April 2026 By 1:24:44 PM","YongXing Steel Company Ltd","2026-04-27 00:00:00","(Asb 778 Xb) 300 Rolls of B/wire 20kg @27380"," ========== ",8214000,0,"OST30426132444"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:23:24 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","(Ebj 953 Xb) Extra 10 Tons of 12mm Local @ 766000"," ========== ",7660000,0,"OST30426152324"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:26:09 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","(Etu 892 Xa) 100 Tons of 16mm Local @ 766000"," ========== ",76600000,0,"OST3042615269"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:27:51 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","(Abb 894 Xa) 60 Tons of 16mm Local @ 766000"," ========== ",45960000,0,"OST30426152751"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:29:17 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","(Abb 894 Xa) Extra 40 Tons of 16mm Local @ 766000"," ========== ",30640000,0,"OST30426152917"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:31:06 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","Ifeanyi Ojiakor (Ebj 399 Xb) 100 Tons of 16mm Local @ 766000"," ========== ",76600000,0,"OST3042615316"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:33:23 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","Emma Kano ( Fky 615 Xa) 54 Tons of 16mm TMT @ 1008000"," ========== ",54432000,0,"OST30426153323"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:35:52 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","N.D Best (Nca 292 Xb) 70 Tons of 12mm (New) Local @ 766000"," ========== ",53620000,0,"OST30426153552"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:38:32 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","Kaodinna (Enu 307 Bu) 78 Tons of 16mm Local @766000"," ========== ",59748000,0,"OST30426153832"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 28 April 2026 By 3:40:56 PM","YongXing Steel Company Ltd","2026-04-28 00:00:00","(Ebj 331 Xb) 80 Tons of 16mm Local @766000"," ========== ",61280000,0,"OST30426154056"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 29 April 2026 By 3:45:03 PM","YongXing Steel Company Ltd","2026-04-29 00:00:00","(Gbk 202 Xa) 100 Tons of 12mm Local @ 766000"," ========== ",76600000,0,"OST3042615453"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 29 April 2026 By 3:46:58 PM","YongXing Steel Company Ltd","2026-04-29 00:00:00","(Umg 125 Xc) 70 Tons of 12mm Local @767000"," ========== ",53690000,0,"OST30426154658"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 29 April 2026 By 3:52:04 PM","YongXing Steel Company Ltd","2026-04-29 00:00:00","(T26841 LA) 100 Tons of 12mm Local @ 767000"," ========== ",76700000,0,"OST3042615524"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
"Alloted To YongXing Steel Company Ltd On 29 April 2026 By 3:53:50 PM","YongXing Steel Company Ltd","2026-04-29 00:00:00","(Bzr 143 Xc) 100 Tons of 16mm Local @ 767000"," ========== ",76700000,0,"OST30426155350"," ========== ","OST"," ========== "," ========== "," ========== ","0"," ========== "
