"RefNo","SupplierName","DatePosted","Details","PaymentMode","AmountDr","AmountCr","TransNo","AccountUsed","FormID","ItemName","Measures","Quantity","UnitCost","VehicleNo"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 2:25:57 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","20 Tons Of 12 MM STANDARD At N798,000.00 Per Unit Cost. Vehicle No (SPR 439 ZY ABRAHAM BAYELSA)."," ========== ",15960000,0,"OST24826142557"," ========== ","OST","12 MM STANDARD","Tons","20","798000.00","SPR 439 ZY ABRAHAM BAYELSA"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 2:26:54 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","20 Tons Of 12 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (SPR 439 ZY ABRAHAM BAYELSA)."," ========== ",14760000,0,"OST24826142654"," ========== ","OST","12 MM LOCAL","Tons","20","738000.00","SPR 439 ZY ABRAHAM BAYELSA"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 2:27:51 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","30 Tons Of 16 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (EFR 14 XB)."," ========== ",22140000,0,"OST24826142751"," ========== ","OST","16 MM LOCAL","Tons","30","738000.00","EFR 14 XB"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 2:28:26 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","40 Tons Of 16MM TMT At N978,000.00 Per Unit Cost. Vehicle No (EFR 14 XB)."," ========== ",39120000,0,"OST24826142826"," ========== ","OST","16MM TMT","Tons","40","978000.00","EFR 14 XB"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 2:29:21 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","60 Tons Of 12 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (RRT 29 XB MANKINSOO BENIN)."," ========== ",44280000,0,"OST24826142921"," ========== ","OST","12 MM LOCAL","Tons","60","738000.00","RRT 29 XB MANKINSOO BENIN"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 2:29:57 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","20 Tons Of 16 MM LOCAL At N738,000.00 Per Unit Cost. Vehicle No (RRT 29 XB MANKINSOO BENIN)."," ========== ",14760000,0,"OST24826142957"," ========== ","OST","16 MM LOCAL","Tons","20","738000.00","RRT 29 XB MANKINSOO BENIN"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 3:17:27 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","30 Tons Of 12MM TMT At N978,000.00 Per Unit Cost. Vehicle No (EBJ 953 XB)."," ========== ",29340000,0,"OST24826151727"," ========== ","OST","12MM TMT","Tons","30","978000.00","EBJ 953 XB"
"Alloted To YongXing Steel Company Ltd On 24 August 2026 By 3:18:02 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","30 Tons Of 16MM TMT At N978,000.00 Per Unit Cost. Vehicle No (EBJ 953 XB)."," ========== ",29340000,0,"OST2482615182"," ========== ","OST","16MM TMT","Tons","30","978000.00","EBJ 953 XB"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 3:19:17 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,5000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
"YongXing Steel Company Ltd Payment On 24 August 2026 By 3:19:51 PM","YongXing Steel Company Ltd","2026-08-24 00:00:00","Payment Made","Cheque",0,6000000,"nip","Zenith Bank Plc","CS"," ========== "," ========== "," ========== "," ========== ","0"
